Var1,ASP14_i10_plus_midhigh
2AMACHYD,NaN
2AMADPTm,0.225510416666667
2DR1PP,NaN
2HCO3_NAt,0.0367083333333333
2OXOADOXm,0.542114583333333
2OXOADPTm,0.225510416666667
34HPPOR,0.0147395833333333
3AIBt,NaN
3AIBTm,0.19765625
3AIBtm,0.19765625
3HAO,0.0114583333333333
3HBCOAHLm,NaN
3HKYNAKGAT,0.5226875
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.10882291666667
3SALATAi,1.58289583333333
3SALATAim,1.79119791666667
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,0.00490625
5MTHFt2,0.272947916666667
AACOAT,0.4285
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.5226875
ABTArm,0.19765625
ABUTD,1.59085416666667
ABUTt2r,0.332
ABUTt4_2_r,0.0118958333333333
ACACT10m,2.36605208333333
ACACT1r,1.78546875
ACACt2,2.415625
ACACt2m,2.415625
ACETONEt2,2.415625
ACETONEt2m,2.415625
ACITL,1.93297916666667
ACOAD10m,1.7920625
ACOAD9m,1.7920625
ACOAHi,NaN
ACONT,1.61790625
ACONTm,1.15251041666667
ACS,0.490375
ACSm,0.0135208333333333
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.0845729166666667
ACTNMO,0.0845729166666667
ACYP,1.24959375
ADCim,NaN
ADEt,0.287822916666667
ADK1,2.1890625
ADK1m,2.1890625
ADK3,0.271333333333333
ADK3m,1.93086458333333
ADMDC,1.92304166666667
ADNK1,1.98095833333333
ADPT,1.68425
ADPtx,NaN
AGTim,NaN
AHC,2.0761875
AKGDm,0.542114583333333
AKGMALtm,1.39614583333333
AKGt4_3,NaN
ALAASNNaEx,1.95746875
ALACYSNaEx,1.95746875
ALAGLNexR,0.14871875
ALAGLNNaEx,1.95746875
ALAGLYexR,0.14871875
ALASERNaEx,1.95746875
ALAt2r,0.332
ALAt4,3.12288541666667
ALATA_L,0.81928125
ALATHRNaEx,1.95746875
ALAtN1,0.0576458333333333
AMCOXO,NaN
AMETt2m,0.7390625
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.19765625
ARGLYSex,1.02529166666667
ARGN,0.972270833333333
ARGNm,0.972270833333333
ARGt4,NaN
ARGtiDF,1.29203125
ARGtm,0.33803125
ASNALANaEx,1.95746875
ASNCYSNaEx,1.95746875
ASNGLNNaEx,1.95746875
ASNS1,1.90652083333333
ASNSERNaEx,1.95746875
ASNt4,3.12288541666667
ASNTHRNaEx,1.95746875
ASNtN1,0.0576458333333333
ASPGLUm,1.10882291666667
ASPTA,1.58289583333333
ASPTAm,1.79119791666667
ATP1ter,NaN
ATPS4m,1.28207291666667
ATPtm,2.824125
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.79090625
CATp,1.79090625
CBPS,1.13416666666667
CBPSam,0.3655
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,0.00226041666666667
CHOLtu,0.354385416666667
CHSTEROLt,0.994166666666667
CHSTEROLt1,0.0762916666666667
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.15534375
CITRtm,0.33803125
CITt4_2,NaN
CITtam,1.0799375
CITtbm,1.0799375
CK,0.0603229166666667
CKc,1.79575
CLFORtex,0.00513541666666667
CLHCO3tex2,0.156
CLOHtex2,0.156
CLOXAtex2,0.156
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.359885416666667
CREATt4_2_r,0.345020833333333
CREATtmdiffir,NaN
CSm,2.30639583333333
CTPS1,1.409125
CTPS2,1.409125
CYOR_u10m,1.39760416666667
CYSALANaEx,1.95746875
CYSASNNaEx,1.95746875
CYSGLNNaEx,1.95746875
CYSGLUexR,0.893260416666667
CYSGLYexR,1.96202083333333
CYSO,0.0547604166666667
CYSSERNaEx,1.95746875
CYSt4,3.12288541666667
CYStec,NaN
CYSTGL,1.03823958333333
CYSTHRNaEx,1.95746875
CYSTS,0.95315625
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.617791666666667
ATPM,NaN
DMGDHm,0.0278958333333333
DMGtm,NaN
DNDPt11m,0.520927083333333
DNDPt23m,0.520927083333333
DNDPt24m,0.520927083333333
DNDPt34m,0.520927083333333
DNDPt35m,0.520927083333333
DNDPt9m,0.520927083333333
DPGase,2.12909375
DPGM,2.12909375
DRBK,0.267166666666667
DTTPtn,NaN
ECOAH12m,2.36605208333333
ECOAH1m,2.36605208333333
ECOAH9m,2.36605208333333
ENO,3.69975
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
