Var1,ASP14_i10_plus_low
2AMACHYD,NaN
2AMADPTm,0.111666666666667
2DR1PP,NaN
2HCO3_NAt,0.0159375
2OXOADOXm,0.455552083333333
2OXOADPTm,0.111666666666667
34HPPOR,0.0262708333333333
3AIBt,NaN
3AIBTm,0.26159375
3AIBtm,0.26159375
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.231520833333333
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.0479375
3SALATAi,1.43348958333333
3SALATAim,1.86457291666667
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,0.0162708333333333
5MTHFt2,0.26084375
AACOAT,0.469729166666667
AACTOOR,0.0144375
AACTtm,NaN
AASAD3m,NaN
AATAi,0.231520833333333
ABTArm,0.26159375
ABUTD,1.22529166666667
ABUTt2r,0.241708333333333
ABUTt4_2_r,0.019375
ACACT10m,2.29807291666667
ACACT1r,1.29683333333333
ACACt2,2.35032291666667
ACACt2m,2.35032291666667
ACETONEt2,2.35032291666667
ACETONEt2m,2.35032291666667
ACITL,1.8696875
ACOAD10m,1.60228125
ACOAD9m,1.60228125
ACOAHi,NaN
ACONT,1.55419791666667
ACONTm,1.17757291666667
ACS,0.469729166666667
ACSm,0.0272708333333333
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.025375
ACTNMO,0.025375
ACYP,0.773958333333333
ADCim,NaN
ADEt,0.24615625
ADK1,2.26465625
ADK1m,2.26465625
ADK3,0.774864583333333
ADK3m,1.71604166666667
ADMDC,2.062125
ADNK1,1.8359375
ADPT,1.80541666666667
ADPtx,NaN
AGTim,NaN
AHC,2.11054166666667
AKGDm,0.455552083333333
AKGMALtm,0.951
AKGt4_3,0.0179791666666667
ALAASNNaEx,1.9204375
ALACYSNaEx,1.9204375
ALAGLNexR,0.0722708333333333
ALAGLNNaEx,1.9204375
ALAGLYexR,0.0722708333333333
ALASERNaEx,1.9204375
ALAt2r,0.241708333333333
ALAt4,3.20634375
ALATA_L,0.73053125
ALATHRNaEx,1.9204375
ALAtN1,0.018375
AMCOXO,NaN
AMETt2m,0.411260416666667
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.26159375
ARGLYSex,0.820739583333333
ARGN,0.835958333333333
ARGNm,0.835958333333333
ARGt4,NaN
ARGtiDF,1.3388125
ARGtm,0.175177083333333
ASNALANaEx,1.9204375
ASNCYSNaEx,1.9204375
ASNGLNNaEx,1.9204375
ASNS1,1.85554166666667
ASNSERNaEx,1.9204375
ASNt4,3.20634375
ASNTHRNaEx,1.9204375
ASNtN1,0.018375
ASPGLUm,1.0479375
ASPTA,1.43348958333333
ASPTAm,1.86457291666667
ATP1ter,NaN
ATPS4m,1.2085625
ATPtm,2.78216666666667
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.55105208333333
CATp,1.55105208333333
CBPS,0.8570625
CBPSam,0.174822916666667
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,0.27753125
CHSTEROLt,0.791572916666667
CHSTEROLt1,0.0391458333333333
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.0444270833333333
CITRtm,0.175177083333333
CITt4_2,NaN
CITtam,1.07416666666667
CITtbm,1.07416666666667
CK,0.0378125
CKc,1.74570833333333
CLFORtex,NaN
CLHCO3tex2,0.28603125
CLOHtex2,0.28603125
CLOXAtex2,0.28603125
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.3476875
CREATt4_2_r,0.3281875
CREATtmdiffir,NaN
CSm,2.27455208333333
CTPS1,1.14035416666667
CTPS2,1.14035416666667
CYOR_u10m,1.41530208333333
CYSALANaEx,1.9204375
CYSASNNaEx,1.9204375
CYSGLNNaEx,1.9204375
CYSGLUexR,0.781302083333333
CYSGLYexR,1.97166666666667
CYSO,0.0356979166666667
CYSSERNaEx,1.9204375
CYSt4,3.20634375
CYStec,NaN
CYSTGL,0.980854166666667
CYSTHRNaEx,1.9204375
CYSTS,0.806
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.57
ATPM,NaN
DMGDHm,0.06478125
DMGtm,NaN
DNDPt11m,0.411697916666667
DNDPt23m,0.411697916666667
DNDPt24m,0.411697916666667
DNDPt34m,0.411697916666667
DNDPt35m,0.411697916666667
DNDPt9m,0.411697916666667
DPGase,2.16905208333333
DPGM,2.16905208333333
DRBK,0.117770833333333
DTTPtn,NaN
ECOAH12m,2.29807291666667
ECOAH1m,2.29807291666667
ECOAH9m,2.29807291666667
ENO,3.61530208333333
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
EX_mthgxl_e,NaN
EX_nh4_e,NaN
EX_o2_e,NaN
EX_o2s_e,NaN
EX_orn_e,NaN
EX_phe_L_e,NaN
EX_pi_e,NaN
EX_pro_L_e,NaN
EX_pyr_e,NaN
EX_ser_L_e,NaN
EX_so4_e,NaN
EX_succ_e,NaN
EX_thr_L_e,NaN
EX_trp_L_e,NaN
EX_tyr_L_e,NaN
EX_urea_e,NaN
EX_val_L_e,NaN
FALDtm,NaN
FBA,3.25444791666667
FBP,NaN
FDH,NaN
FKYNH,1.51432291666667
FORtr,NaN
FTCD,NaN
FTHFDH,0.0955104166666667
FUM,0.920927083333333
FUMAC,0.50859375
FUMm,0.920927083333333
FUMSO3tm,0.125916666666667
FUMSO4tm,0.125916666666667
FUMtm,0.125916666666667
FUMTSULtm,0.125916666666667
G3PD1,0.00525
G3PD2m,0.117364583333333
G5SADrm,NaN
G5SADs,NaN
G5SDym,1.72116666666667
G6PDA,1.51085416666667
G6PDH1rer,0.434739583333333
