Var1,PDX-3360_cluster_0
2AMACHYD,0.00372168079715723
2AMADPTm,0.00175326429743167
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,NaN
2OXOADPTm,0.00175326429743167
34DHPHEt,0.0211192953144336
34HPPOR,8.59597175006281e-05
3AIBTm,0.0630115847653377
3AIBtmi,0.0630115847653377
3HAO,0.0402441833832721
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3HLYTCL,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.115593976613504
3SALAOX,NaN
3SALATAi,0.0851475134088892
3SALATAim,NaN
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5AOPtm,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,0.0630115847653377
ABUTt4_2_r,NaN
ACACT10m,NaN
ACACt2m,NaN
ACALDtm,NaN
ACETONEt2,0.139128475989166
ACETONEt2m,NaN
ACGSm,NaN
ACITL,NaN
ACOAD10m,0.0345536587509321
ACOAD8m,NaN
ACOAD9m,0.0536894504013553
ACOAHi,NaN
ACONTm,NaN
ACSm,0.13805715567623
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.012188588040309
ACTNMO,0.012188588040309
ADCim,NaN
ADK1m,0.227150802288139
ADK3,NaN
ADK3m,NaN
ADMDC,0.6881033605433
ADNt,0.100445277493295
ADPtx,NaN
AGTim,0.0117038865056303
AGTix,0.306039347051921
AKGDm,NaN
AKGMALtm,0.0263420831825998
AKGt4_3,0.00176356488849685
AKGtp,NaN
ALAASNNaEx,NaN
ALACYSNaEx,0.0317095463757801
ALAGLNexR,0.3945250443526
ALAGLNNaEx,NaN
ALAGLYexR,0.3945250443526
ALASERNaEx,0.0317095463757801
ALASm,0.115838172273678
ALAt4,0.94400343024417
ALATA_L,0.108502223319782
ALATHRNaEx,0.0317095463757801
ALAtN1,0.762213949702288
ALDD2xm,NaN
ALDD2y,0.0218658887056841
ALR2,NaN
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
ARGLYSex,0.3945250443526
ARGNm,0.107640431001129
ARGt4,NaN
ARGtm,NaN
ASNALANaEx,NaN
ASNCYSNaEx,NaN
ASNGLNNaEx,NaN
ASNS1,0.224541107513969
ASNSERNaEx,NaN
ASNt4,0.94400343024417
ASNTHRNaEx,NaN
ASNtN1,0.762213949702288
ASPGLUm,0.115593976613504
ASPTAm,NaN
ATP1ter,NaN
ATPtm,1.37888398862373
ATPtx,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,0.0012825635201924
CATm,0.00186274182160347
CATp,0.00186274182160347
CBPPer,NaN
CBPSam,0.179093506459517
CBPter,NaN
CHLP,0.135221763045598
CHLtm,NaN
CHOLD2m,0.0029107584667049
CHOLK,NaN
CHOLt4,0.000360254132956789
CHOLtu,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,0.338667990100619
CITtbm,0.338667990100619
CK,NaN
CKc,0.565125914666344
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.053231750119325
CREATt4_2_r,0.172657168285148
CREATtmdiffir,NaN
CRTNsyn,NaN
CSm,NaN
CYSALANaEx,0.0317095463757801
CYSASNNaEx,NaN
CYSGLNNaEx,NaN
CYSGLUexR,0.3945250443526
CYSGLYexR,0.3945250443526
CYSO,NaN
CYSSERNaEx,0.0317095463757801
CYSt4,0.94400343024417
CYSTA,0.0851475134088892
CYStec,0.000201468666394551
CYSTHRNaEx,0.0317095463757801
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DMGDHm,NaN
DMGtm,NaN
DOPAMT,NaN
DOPAt4_2_r,NaN
DOPAtu,NaN
DOPAVESSEC,NaN
DPGase,0.104877621382039
DPGM,0.104877621382039
DTTPtn,NaN
ECOAH12m,NaN
ECOAH1m,NaN
ECOAH9m,NaN
EX_34dhphe_e,NaN
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_acetone_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_creat_e,NaN
EX_dopa_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_hista_e,NaN
EX_lnlc_e,NaN
EX_mthgxl_e,NaN
EX_o2s_e,NaN
EX_oxa_e,NaN
EX_ps_hs_e,NaN
EX_tsul_e,NaN
FADH2tru,NaN
FADtru,NaN
FALDtm,NaN
FDH,NaN
FKYNH,NaN
FORtr,NaN
FUMAC,0.0709568211449343
FUMm,0.164486653465582
FUMSO3tm,0.0263420831825998
FUMSO4tm,0.0263420831825998
FUMtm,0.0263420831825998
FUMTSULtm,0.0263420831825998
G3PD2m,0.0648674153728269
G5SADrm,NaN
G5SDym,0.1131384201533
G6PDH1rer,0.102918372930665
G6PDH2rer,0.102918372930665
G6PPer,NaN
G6Pter,0.0635584341906752
GABAVESSEC,NaN
GACMTRc,0.206850551793145
GCC2am,NaN
GCC2bim,NaN
GCC2cm,NaN
GCCam,NaN
GCCbim,NaN
GCCcm,NaN
GHMT2rm,0.44110048205009
GLCMter,NaN
GLCt1r,0.325746911022355
GLCt2_2,NaN
GLCter,NaN
GLCURter,NaN
GLNALANaEx,NaN
GLNASNNaEx,NaN
GLNCYSNaEx,NaN
GLNSERNaEx,NaN
GLNTHRNaEx,NaN
GLNtm,NaN
GLNtN1,0.762213949702288
GLU5Km,0.1131384201533
GLUDC,0.00182687595748065
GLUDxm,NaN
GLUDym,NaN
GluForTx,NaN
GLUNm,0.345309632095067
GLUt2m,0.115593976613504
GLUTCOADHm,0.216466514992784
GLUVESSEC,0.0300955122434779
GLXtm,NaN
GLXtp,NaN
