Var1,PDX-352_cluster_3
2AMACHYD,0.0360714228797044
2AMADPTm,0.0232996775915748
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.205184876847495
2OXOADPTm,0.0232996775915748
34DHPHEt,NaN
34HPPOR,NaN
3AIBTm,NaN
3AIBtmi,NaN
3HAO,0.0868848817574493
3HBCOAHLm,NaN
3HKYNAKGAT,0.0825293457590079
3HLYTCL,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.0778488816434972
3SALAOX,NaN
3SALATAi,0.183692487206257
3SALATAim,NaN
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5AOPtm,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,NaN
ABUTt4_2_r,0.00025454810575435
ACACT10m,NaN
ACACt2m,0.262835466512367
ACALDtm,NaN
ACETONEt2,0.262835466512367
ACETONEt2m,0.262835466512367
ACGSm,0.00772823680317002
ACITL,0.26446383777988
ACOAD10m,0.373609798947019
ACOAD8m,0.116401020152289
ACOAD9m,0.373609798947019
ACOAHi,NaN
ACONTm,NaN
ACSm,0.103022534471522
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ADCim,NaN
ADK1m,0.285193312895355
ADK3,NaN
ADK3m,NaN
ADMDC,0.418673298290472
ADNt,0.0607294493742537
ADPtx,NaN
AGTim,NaN
AGTix,NaN
AKGDm,0.205184876847495
AKGMALtm,0.169198229356388
AKGt4_3,NaN
AKGtp,NaN
ALAASNNaEx,0.292919676768723
ALACYSNaEx,0.292919676768723
ALAGLNexR,0.561027192613154
ALAGLNNaEx,0.292919676768723
ALAGLYexR,0.561027192613154
ALASERNaEx,0.292919676768723
ALASm,0.187730206809403
ALAt4,1.30649808833474
ALATA_L,0.0210339672079212
ALATHRNaEx,0.292919676768723
ALAtN1,0.285421891129045
ALDD2xm,0.207696860611581
ALDD2y,0.594452040047166
ALR2,0.00338727094981659
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
ARGLYSex,0.020848858254877
ARGNm,0.1197788108265
ARGt4,NaN
ARGtm,0.0308084507967439
ASNALANaEx,0.292919676768723
ASNCYSNaEx,0.292919676768723
ASNGLNNaEx,0.292919676768723
ASNS1,0.135023627759951
ASNSERNaEx,0.292919676768723
ASNt4,1.30649808833474
ASNTHRNaEx,0.292919676768723
ASNtN1,0.285421891129045
ASPGLUm,0.0778488816434972
ASPTAm,NaN
ATP1ter,NaN
ATPtm,1.93999023699875
ATPtx,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,0.369538870653467
CATp,0.369538870653467
CBPPer,0.236866919332714
CBPSam,0.000187136589340045
CBPter,NaN
CHLP,0.0491648259523668
CHLtm,NaN
CHOLD2m,NaN
CHOLK,0.0602625591867563
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITRtm,0.0308084507967439
CITt4_2,NaN
CITtam,0.364065401469977
CITtbm,0.364065401469977
CK,NaN
CKc,1.63053429012664
CLFORtex,0.00315237380385969
CLHCO3tex2,NaN
