Var1,ASP14_i10_plus_midlow
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,0.0141894736842105
1a_24_25VITD2Hm,NaN
1a_24_25VITD3Hm,NaN
1a_25VITD2Hm,NaN
1a_25VITD3Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,0.0187473684210526
24_25VITD3Hm,0.0187473684210526
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin,NaN
25HVITD2tin_m,NaN
25HVITD2tm,NaN
25HVITD3t,NaN
25HVITD3tin,NaN
25HVITD3tin_m,NaN
25HVITD3tm,NaN
25VITD2Hm,0.0521473684210526
25VITD3Hm,0.0521473684210526
2AMACHYD,NaN
2AMACSULT,NaN
2AMADPTm,0.2064
2DR1PP,NaN
2HBO,3.13662105263158
2HBt2,2.39971578947368
2HCO3_NAt,0.0833052631578947
2MCITt,NaN
2OXOADOXm,0.439505263157895
2OXOADPTm,0.2064
34DHOXPEGOX,2.48014736842105
34DHOXPEGt,NaN
34DHPHAMT,1.75916842105263
34DHPHEt,0.0815052631578947
34DHPLACOX,0.0960421052631579
34DHPLACOX_NADP,0.0314736842105263
34DHXMANDACOX,0.0960421052631579
34DHXMANDACOX_NADP,0.0314736842105263
34HPLFM,NaN
34HPPOR,0.0253473684210526
35CGMPtn,NaN
3AIBt,NaN
3AIBTm,0.274821052631579
3AIBtm,0.274821052631579
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.15864210526316
3HAO,NaN
3HBCDm,0.0079578947368421
3HBCOAHLm,NaN
3HKYNAKGAT,0.372515789473684
3HLYTCL,NaN
3HPCOAHYD,1.72401052631579
3HPPD,NaN
3HXKYNDCL,NaN
3HXKYNOXDA,0.305589473684211
3M4HDXPAC,0.0960421052631579
3MLDAt,NaN
