Var1,PDX-3360_cluster_3
2AMACHYD,0.00130576857183345
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,NaN
2OXOADPTm,NaN
34HPPOR,0.00127525694628872
3AIBt,NaN
3AIBTm,0.0481546516259196
3AIBtm,0.0481546516259196
3HAO,0.0352609221818586
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.116393427704535
3SALATAi,0.11378349517546
3SALATAim,NaN
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,0.000946628846346386
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,0.0481546516259196
ABUTD,NaN
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,NaN
ACACT1r,0.25879170402648
ACACt2,0.132735205489019
ACACt2m,NaN
ACETONEt2,0.132735205489019
ACETONEt2m,NaN
ACITL,NaN
ACOAD10m,0.0346226544173622
ACOAD9m,0.0446841129195438
ACOAHi,NaN
ACONT,NaN
ACONTm,NaN
ACS,0.136157121075682
ACSm,0.0876495724041311
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.00193059787390724
ACTNMO,0.00193059787390724
ACYP,0.352323952411848
ADCim,NaN
ADEt,0.0205369325423682
ADK1,0.123532698346824
ADK1m,0.177806658680162
ADK3,NaN
ADK3m,NaN
ADMDC,0.756968007516609
ADNK1,NaN
ADPT,0.673210262069626
ADPtx,NaN
AGTim,0.00330963734754179
AHC,NaN
AKGDm,NaN
AKGMALtm,0.0528527801590306
AKGt4_3,NaN
ALAASNNaEx,NaN
ALACYSNaEx,0.0423061818318077
ALAGLNexR,0.460954071037353
ALAGLNNaEx,NaN
ALAGLYexR,0.460954071037353
ALASERNaEx,0.0423061818318077
ALAt2r,NaN
ALAt4,0.948894431982091
ALATA_L,0.0705100504691323
ALATHRNaEx,0.0423061818318077
ALAtN1,0.761250558984343
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.0481546516259196
ARGLYSex,0.460954071037353
ARGN,0.144120514530826
ARGNm,0.144120514530826
ARGt4,NaN
ARGtiDF,0.0687415774261195
ARGtm,NaN
ASNALANaEx,NaN
ASNCYSNaEx,NaN
ASNGLNNaEx,NaN
ASNS1,0.168582449061057
ASNSERNaEx,NaN
ASNt4,0.948894431982091
ASNTHRNaEx,NaN
ASNtN1,0.761250558984343
ASPGLUm,0.116393427704535
ASPTA,0.11378349517546
ASPTAm,NaN
ATP1ter,NaN
ATPS4m,NaN
ATPtm,1.57512413130866
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,0.000271283701141044
CATm,0.000259543024989032
CATp,0.000259543024989032
CBPS,NaN
CBPSam,0.221107955608103
CHLtm,NaN
CHOLD2m,0.00974297740314373
CHOLt4,0.00521510744851733
CHOLtu,NaN
CHSTEROLt,0.00138917362327298
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.0390608008734133
CITRtm,NaN
CITt4_2,NaN
CITtam,0.26519130381248
CITtbm,0.26519130381248
CK,NaN
CKc,0.41839607036303
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.0619119602851767
CREATt4_2_r,0.306731120096865
CREATtmdiffir,NaN
CSm,NaN
CTPS1,0.348374881224815
CTPS2,0.348374881224815
CYOR_u10m,NaN
CYSALANaEx,0.0423061818318077
CYSASNNaEx,NaN
CYSGLNNaEx,NaN
CYSGLUexR,0.460954071037353
CYSGLYexR,0.460954071037353
CYSO,NaN
CYSSERNaEx,0.0423061818318077
CYSt4,0.948894431982091
CYStec,0.00143018132322049
CYSTGL,0.0357308107275496
CYSTHRNaEx,0.0423061818318077
CYSTS,NaN
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.29042518121146
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,0.135533071778439
DNDPt23m,0.135533071778439
DNDPt24m,0.135533071778439
DNDPt34m,0.135533071778439
DNDPt35m,0.135533071778439
DNDPt9m,0.135533071778439
DPGase,0.106349620120551
DPGM,0.106349620120551
DRBK,0.0376764513138268
DTTPtn,NaN
ECOAH12m,NaN
ECOAH1m,NaN
ECOAH9m,NaN
ENO,2.24113716208746
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
EX_mthgxl_e,NaN
EX_nh4_e,NaN
EX_o2_e,NaN
EX_o2s_e,NaN
EX_orn_e,NaN
EX_phe_L_e,NaN
EX_pi_e,NaN
EX_pro_L_e,NaN
EX_pyr_e,NaN
EX_ser_L_e,NaN
EX_so4_e,NaN
EX_succ_e,NaN
EX_thr_L_e,NaN
EX_trp_L_e,NaN
EX_tyr_L_e,NaN
EX_urea_e,NaN
EX_val_L_e,NaN
FALDtm,NaN
FBA,0.179737165767364
FBP,NaN
FDH,NaN
FKYNH,NaN
FORtr,NaN
FTCD,NaN
FTHFDH,0.0975473323669383
FUM,0.186707612797224
FUMAC,0.0989375909563726
FUMm,0.186707612797224
FUMSO3tm,0.0528527801590306
FUMSO4tm,0.0528527801590306
FUMtm,0.0528527801590306
FUMTSULtm,0.0528527801590306
G3PD1,NaN
G3PD2m,0.0616171485769055
G5SADrm,NaN
G5SADs,NaN
G5SDym,0.101261278801652
G6PDA,NaN
G6PDH1rer,0.0983310207803413
G6PDH2r,NaN
G6PDH2rer,0.0983310207803413
G6PPer,NaN
G6Pter,0.051976469744529
GABAVESSEC,NaN
GACMTRc,0.12612315846814
GAPD,3.68685222807385
GCC2am,NaN
GCC2bim,NaN
GCC2cm,NaN
GCCam,NaN
GCCbim,NaN
GCCcm,NaN
GF6PTA,0.430902239349153
GHMT2r,0.140777996687031
GHMT2rm,0.52324540652926
GK1,NaN
GLCMter,NaN
GLCt1r,0.283611041291681
GLCt2_2,NaN
GLCt4,0.240666347284796
GLCter,NaN
GLCURter,NaN
GLNALANaEx,NaN
GLNASNNaEx,NaN
GLNCYSNaEx,NaN
GLNS,NaN
GLNSERNaEx,NaN
GLNt4,0.948894431982091
GLNTHRNaEx,NaN
GLNtm,NaN
GLNtN1,0.761250558984343
GLU5Km,0.101261278801652
GLUCYS,0.0754089118548171
GLUDC,0.0025300027595626
GLUDxm,NaN
GLUDym,NaN
GluForTx,NaN
GLUNm,0.458074276961347
GLUPRT,0.340073721276389
GLUt2m,0.116393427704535
GLUTCOADHm,0.153022839732113
GLUVESSEC,0.028843014584805
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,0.0365773760097683
GLYATm,NaN
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,NaN
GLYt4,0.948894431982091
GLYt7_211_r,0.0513400014430758
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,NaN
GND,NaN
GNDer,NaN
GNMT,NaN
GTHO,NaN
GTHOm,NaN
GTHP,2.31567097719384
GTHPm,NaN
GTHRDt,NaN
GTHS,NaN
GULNDer,NaN
GULNter,NaN
H2CO3D,0.00428663340037462
H2O2syn,NaN
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,0.0938338099254502
H2Oter,NaN
H2Otm,0.000727612505514155
H2Otp,NaN
HACD1m,0.327265884549845
HACD9m,0.327265884549845
HCO3_CLt,NaN
HEX1,0.0910838086690222
HGNTOR,NaN
HIBDm,0.134106062392078
HISD,NaN
HISDC,NaN
HISt4,0.948894431982091
HISTAtu,NaN
HISTAVESSEC,NaN
HIStiDF,0.00754874593839443
HIStN1,NaN
HKYNH,NaN
HMGCOASim,NaN
HMGCOAtm,NaN
HMGLm,NaN
HOMt4,0.0687415774261195
Htm,NaN
Htr,NaN
Htx,NaN
ICDHxm,NaN
ICDHy,NaN
ICDHyrm,0.778705206497636
ILEt4,NaN
ILEt5m,NaN
ILETA,0.0733849801832721
ILETAm,NaN
ILEtec,0.0849356504068488
IZPN,0.00347803623745681
KCC2t,0.122197943665679
KYN3OX,NaN
KYNAKGAT,NaN
KYNATESYN,NaN
LDH_L,1.61807352966732
LEUt4,0.460954071037353
LEUt5m,NaN
LEUTA,0.0733849801832721
LEUTAm,NaN
LEUtec,0.0849356504068488
L_LACDcm,0.119432727042487
