Var1,PDX-3381_cluster_2
2AMACHYD,NaN
2AMADPTm,0.0947541958788638
2DR1PP,NaN
2HCO3_NAt,0.0182226849314959
2OXOADOXm,0.04290765897912
2OXOADPTm,0.0947541958788638
34HPPOR,NaN
3AIBt,NaN
3AIBTm,0.0925188084894961
3AIBtm,0.0925188084894961
3HAO,0.0234342174008194
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,NaN
3SALATAi,0.108025559014365
3SALATAim,NaN
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,0.0925188084894961
ABUTD,NaN
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,0.296886083047852
ACACT1r,0.688438195337655
ACACt2,0.0132248795153242
ACACt2m,NaN
ACETONEt2,0.0132248795153242
ACETONEt2m,NaN
ACITL,0.187417487345135
ACOAD10m,0.480206663665093
ACOAD9m,0.480206663665093
ACOAHi,NaN
ACONT,0.423474201277311
ACONTm,0.131743116782824
ACS,0.0251400100486905
ACSm,0.0982571477475374
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.0159189781328671
ACTNMO,0.0159189781328671
ACYP,0.328756289505087
ADCim,NaN
ADEt,NaN
ADK1,0.0808555967811304
ADK1m,0.359376047675318
ADK3,NaN
ADK3m,NaN
ADMDC,0.344823439366261
ADNK1,NaN
ADPT,1.54233864550534
ADPtx,NaN
AGTim,NaN
AHC,NaN
AKGDm,0.04290765897912
AKGMALtm,0.023357518267608
AKGt4_3,0.0402492948185667
ALAASNNaEx,NaN
ALACYSNaEx,0.0329376064800462
ALAGLNexR,0.893633720903057
ALAGLNNaEx,NaN
ALAGLYexR,0.893633720903057
ALASERNaEx,0.0329376064800462
ALAt2r,NaN
ALAt4,0.802884478460659
ALATA_L,0.0180942457934967
ALATHRNaEx,0.0329376064800462
ALAtN1,0.114703439669352
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.0925188084894961
ARGLYSex,0.0387080009923622
ARGN,0.111343057200372
ARGNm,0.111343057200372
ARGt4,NaN
ARGtiDF,0.0789845136432308
ARGtm,0.00186188196535167
ASNALANaEx,NaN
ASNCYSNaEx,NaN
ASNGLNNaEx,NaN
ASNS1,0.164144079130982
ASNSERNaEx,NaN
ASNt4,0.802884478460659
ASNTHRNaEx,NaN
ASNtN1,0.114703439669352
ASPGLUm,NaN
ASPTA,0.108025559014365
ASPTAm,NaN
ATP1ter,NaN
ATPS4m,NaN
ATPtm,NaN
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,NaN
CATp,NaN
CBPS,NaN
CBPSam,NaN
CHLtm,NaN
