Var1,PDX-3633_cluster_3
2AMACHYD,NaN
2AMADPTm,0.183752846641808
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.0929937239052082
2OXOADPTm,0.183752846641808
34HPPOR,NaN
3AIBt,NaN
3AIBTm,0.0153718943498572
3AIBtm,0.0153718943498572
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,0.000801397038965809
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,NaN
3SALATAi,0.127150974551938
3SALATAim,NaN
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,0.162045238243074
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.000801397038965809
ABTArm,0.0153718943498572
ABUTD,NaN
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,0.122193354885189
ACACT1r,0.149800305555061
ACACt2,0.410179128513044
ACACt2m,0.410179128513044
ACETONEt2,0.410179128513044
ACETONEt2m,0.410179128513044
ACITL,0.112299317501637
ACOAD10m,0.132228307608439
ACOAD9m,0.111701258127483
ACOAHi,NaN
ACONT,NaN
ACONTm,NaN
ACS,0.162045238243074
ACSm,0.161172469416443
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.020706743435288
ACTNMO,0.020706743435288
ACYP,0.216342742056871
ADCim,NaN
ADEt,0.0193370043014993
ADK1,0.114927662825402
ADK1m,0.242639343622996
ADK3,NaN
ADK3m,NaN
ADMDC,0.373406568032746
ADNK1,NaN
ADPT,NaN
ADPtx,NaN
AGTim,NaN
AHC,0.451093387847044
AKGDm,0.0929937239052082
AKGMALtm,NaN
AKGt4_3,0.0305168487435701
ALAASNNaEx,0.231889478801465
ALACYSNaEx,0.231889478801465
ALAGLNexR,1.33157246721034
ALAGLNNaEx,0.231889478801465
ALAGLYexR,1.33157246721034
ALASERNaEx,0.231889478801465
ALAt2r,NaN
ALAt4,0.967297293580308
ALATA_L,0.0468148312322339
ALATHRNaEx,0.231889478801465
ALAtN1,0.00253027201611169
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.0153718943498572
ARGLYSex,1.33157246721034
ARGN,0.531517182518633
ARGNm,0.531517182518633
ARGt4,NaN
ARGtiDF,0.0558404250336545
ARGtm,NaN
