Var1,pdx184_cluster_0
2AMACHYD,0.0110084394907506
2AMADPTm,0.294126430588201
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,0.257411599425762
2OXOADPTm,0.294126430588201
34HPPOR,NaN
3AIBt,NaN
3AIBTm,0.421449798727614
3AIBtm,0.421449798727614
3HAO,0.180250852369535
3HBCOAHLm,NaN
3HKYNAKGAT,0.0736526269930527
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,0.0957695195734343
3SALATAi,0.128931757082376
3SALATAim,0.27101279498994
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,0.152189623787987
AACOAT,0.114507656611524
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,0.00225851062687657
ABTArm,0.421449798727614
ABUTD,0.756986181523445
ABUTt2r,0.00680045597054352
ABUTt4_2_r,0.0748527299629762
ACACT10m,0.793603428966178
ACACT1r,0.441715852377161
ACACt2,0.42392472751319
ACACt2m,0.42392472751319
ACETONEt2,0.463696172922763
ACETONEt2m,0.42392472751319
ACITL,0.457552781193581
ACOAD10m,0.494421592227004
ACOAD9m,0.494421592227004
ACOAHi,NaN
ACONT,0.379900025138955
ACONTm,0.546531964524557
ACS,0.237063527904612
ACSm,0.124142539270816
ACt2m,NaN
ACt2r,NaN
ACTLMO,0.000886192097226888
ACTNMO,0.000886192097226888
ACYP,0.364140492240326
ADCim,NaN
ADEt,0.127112150058502
ADK1,0.683349708968825
ADK1m,0.683349708968825
ADK3,NaN
ADK3m,1.01825446092363
ADMDC,0.615738607613624
ADNK1,0.578784856452547
ADPT,1.1654782270902
ADPtx,NaN
AGTim,NaN
AHC,0.890313482078328
AKGDm,0.257411599425762
AKGMALtm,0.637937008343118
AKGt4_3,0.00371775607376144
ALAASNNaEx,0.425203410476367
ALACYSNaEx,0.425203410476367
ALAGLNexR,0.804715814781057
ALAGLNNaEx,0.425203410476367
ALAGLYexR,0.804715814781057
ALASERNaEx,0.425203410476367
ALAt2r,0.00680045597054352
ALAt4,1.03326792604765
ALATA_L,0.019954428985481
ALATHRNaEx,0.425203410476367
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,0.30500695698786
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,0.421449798727614
ARGLYSex,0.029960244080571
ARGN,0.0771767349907589
ARGNm,0.0771767349907589
ARGt4,NaN
ARGtiDF,0.347196864750613
ARGtm,0.0165002760204603
ASNALANaEx,0.425203410476367
ASNCYSNaEx,0.425203410476367
ASNGLNNaEx,0.425203410476367
ASNS1,0.123758289163848
ASNSERNaEx,0.425203410476367
ASNt4,1.03326792604765
ASNTHRNaEx,0.425203410476367
ASNtN1,NaN
ASPGLUm,0.0957695195734343
ASPTA,0.128931757082376
ASPTAm,0.27101279498994
ATP1ter,NaN
ATPS4m,0.242126195833183
ATPtm,1.93526576918523
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,0.844076108391799
CATp,0.844076108391799
CBPS,0.346322846741827
CBPSam,NaN
CHLtm,NaN
CHOLD2m,0.00291158526075456
CHOLt4,NaN
CHOLtu,0.0316403902292424
CHSTEROLt,0.0523069776106353
CHSTEROLt1,0.261826550800166
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,0.029054258382812
CITRtm,0.0165002760204603
CITt4_2,NaN
CITtam,0.179323601922654
CITtbm,0.179323601922654
CK,0.00222345714280539
CKc,1.2840720327022
CLFORtex,NaN
CLHCO3tex2,0.0399459578457272
CLOHtex2,0.0399459578457272
CLOXAtex2,0.0399459578457272
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,0.0653747230145291
CREATt4_2_r,0.0160464414690612
CREATtmdiffir,NaN
CSm,0.532144089232077
CTPS1,0.168028969810164
CTPS2,0.168028969810164
CYOR_u10m,0.806242044331091
CYSALANaEx,0.425203410476367
CYSASNNaEx,0.425203410476367
CYSGLNNaEx,0.425203410476367
CYSGLUexR,0.804715814781057
CYSGLYexR,0.804715814781057
CYSO,0.00295714286563154
CYSSERNaEx,0.425203410476367
CYSt4,1.03326792604765
CYStec,0.0229265900781943
CYSTGL,0.01020884710922
CYSTHRNaEx,0.425203410476367
CYSTS,NaN
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.354723071812483
ATPM,NaN
DMGDHm,0.00324351997383418
DMGtm,NaN
DNDPt11m,0.182118044039264
DNDPt23m,0.182118044039264
DNDPt24m,0.182118044039264
DNDPt34m,0.182118044039264
DNDPt35m,0.182118044039264
DNDPt9m,0.182118044039264
DPGase,1.23268658830051
DPGM,1.23268658830051
DRBK,0.0210512661211738
DTTPtn,NaN
ECOAH12m,0.869022374076315
ECOAH1m,0.869022374076315
ECOAH9m,0.869022374076315
ENO,1.61821853775164
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
EX_mthgxl_e,NaN
EX_nh4_e,NaN
EX_o2_e,NaN
EX_o2s_e,NaN
EX_orn_e,NaN
EX_phe_L_e,NaN
EX_pi_e,NaN
EX_pro_L_e,NaN
EX_pyr_e,NaN
EX_ser_L_e,NaN
EX_so4_e,NaN
EX_succ_e,NaN
EX_thr_L_e,NaN
EX_trp_L_e,NaN
EX_tyr_L_e,NaN
EX_urea_e,NaN
EX_val_L_e,NaN
FALDtm,NaN
FBA,1.56954814518059
FBP,0.00318953837302065
FDH,0.0460981264347424
FKYNH,0.312440260587212
FORtr,NaN
FTCD,0.00384976059555622
FTHFDH,0.0460981264347424
FUM,0.53022266615968
FUMAC,0.0524232031322013
FUMm,0.53022266615968
FUMSO3tm,0.0230772195358122
FUMSO4tm,0.0230772195358122
FUMtm,0.0230772195358122
FUMTSULtm,0.0230772195358122
G3PD1,0.0594360837323432
G3PD2m,0.0504926722127018
G5SADrm,NaN
G5SADs,NaN
G5SDym,0.150708762478272
G6PDA,0.361996274451286
G6PDH1rer,0.117870080519018
G6PDH2r,0.303707526856695
G6PDH2rer,0.303707526856695
G6PPer,0.574832908640361
G6Pter,0.0858058618159863
GABAVESSEC,NaN
GACMTRc,0.645068055477661
GAPD,2.52175589307469
GCC2am,0.0196831407373945
GCC2bim,0.0196831407373945
GCC2cm,0.0196831407373945
GCCam,0.0196831407373945
GCCbim,0.0196831407373945
GCCcm,0.0196831407373945
GF6PTA,0.218463277217916
GHMT2r,0.117551287058418
GHMT2rm,0.720513242629877
GK1,0.967843191404122
GLCMter,NaN
GLCt1r,1.58954204777683
GLCt2_2,NaN
GLCt4,0.140187069883669
GLCter,NaN
GLCURter,NaN
GLNALANaEx,0.425203410476367
GLNASNNaEx,0.425203410476367
GLNCYSNaEx,0.425203410476367
GLNS,0.409822878521097
GLNSERNaEx,0.425203410476367
GLNt4,1.03326792604765
GLNTHRNaEx,0.425203410476367
GLNtm,NaN
GLNtN1,NaN
GLU5Km,0.150708762478272
GLUCYS,0.0521794708541085
GLUDC,0.0273518455671269
GLUDxm,0.287557947638135
GLUDym,0.287557947638135
GluForTx,0.00384976059555622
GLUNm,0.244303049306527
GLUPRT,0.262004212775879
GLUt2m,0.101409827584107
GLUTCOADHm,0.290707297460517
GLUVESSEC,0.14077261840696
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,NaN
GLYATm,0.0515762314415307
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,0.00680045597054352
GLYt4,1.03326792604765
GLYt7_211_r,0.0600679998902169
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,0.515761545936507
GND,0.576372236968206
GNDer,0.576372236968206
GNMT,0.00568484205034418
GTHO,0.117158988965425
GTHOm,0.117158988965425
GTHP,1.49597513935945
GTHPm,1.1778055911438
GTHRDt,NaN
GTHS,0.465966285574055
GULNDer,NaN
GULNter,NaN
H2CO3D,0.0367814413359791
H2O2syn,0.0850193185458036
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,0.00220510088544478
H2Oter,NaN
H2Otm,NaN
H2Otp,NaN
HACD1m,0.793603428966178
HACD9m,0.686774961145503
HCO3_CLt,0.349636229686166
HEX1,0.353646007227559
HGNTOR,NaN
HIBDm,0.329130731522108
HISD,0.00291146140552964
HISDC,NaN
HISt4,1.03326792604765
HISTAtu,0.0316403902292424
HISTAVESSEC,0.00464534395786449
HIStiDF,0.347196864750613
HIStN1,NaN
HKYNH,0.00925799542299574
HMGCOASim,NaN
HMGCOAtm,NaN
HMGLm,0.387318689321351
HOMt4,0.0643535796502927
Htm,0.142200526001048
Htr,NaN
Htx,NaN
ICDHxm,0.238763846807543
ICDHy,0.389733820877608
ICDHyrm,0.256135766885734
ILEt4,NaN
ILEt5m,NaN
ILETA,0.00155374412152665
ILETAm,0.199665589998296
ILEtec,0.0259834274867049
IZPN,0.00102824641245317
KCC2t,0.384760041006823
KYN3OX,0.33721444051102
KYNAKGAT,0.0736526269930527
KYNATESYN,NaN
LDH_L,1.8769662997112
LEUt4,0.804715814781057
LEUt5m,NaN
LEUTA,0.00155374412152665
LEUTAm,0.199665589998296
LEUtec,0.0259834274867049
L_LACDcm,0.0909411283402715
L_LACt2r,1.52324873544663
L_LACt4r,0.00623246661710715
LYSt4,0.0316403902292424
LYStiDF,0.347196864750613
LYStm,0.0165002760204603
MACACI,0.361595779852057
MALSO3tm,0.0230772195358122
MALSO4tm,0.0230772195358122
MALtm,0.0230772195358122
MALTSULtm,0.0230772195358122
MCCCrm,0.236664459207891
MDH,0.937721331328318
MDHm,1.35641398189237
ME1m,0.208833031213364
ME2,0.334407924913358
ME2m,0.208833031213364
METAT,0.999858352627874
METLEUex,0.343002148775557
METS,0.29529952612009
METt4,1.03326792604765
METtec,0.0259834274867049
MGCHrm,0.103656927861859
MGSA,NaN
MGSA2,NaN
MMEm,0.20099155330592
MMMm,0.197206803516624
MMSAD3m,0.166022323463743
MMTSADm,NaN
MTHFC,0.426661020826743
MTHFD,0.426661020826743
MTHGXLt,NaN
NADH2_u10m,0.417879326761467
NADHtpu,NaN
NADHtru,NaN
NADPHtru,NaN
NADPtru,NaN
NADtpu,NaN
NADtru,NaN
NAHCO3_HCLt,0.0389666766156551
NAt,0.140187069883669
NAt3_1,0.0523345269568546
NAt5,0.0523345269568546
NCCt,NaN
NDPK1,0.634498436681049
NDPK1m,0.729099724852032
NDPK2,0.634498436681049
NDPK3,0.634498436681049
NDPK4,0.634498436681049
NDPK5,0.634498436681049
NDPK8,0.634498436681049
NDPK9,0.634498436681049
NH4t3r,0.00682193064740662
NH4tp,NaN
NKCC2t,0.02202644914318
NRPPHRt4_2_r,NaN
NRPPHRtu,NaN
NRPPHRVESSEC,0.00464534395786449
NTD7,0.615902549529603
O2St,NaN
O2Stm,NaN
O2Stx,NaN
O2t,NaN
O2ter,NaN
O2tm,NaN
O2tp,NaN
OBDHc,NaN
OCBTm,NaN
OIVD1m,0.0901008918821676
OIVD2m,0.0901008918821676
OIVD3m,0.0901008918821676
ORNDC,0.308733432268286
ORNt3m,0.0165002760204603
ORNt4m,0.0165002760204603
ORNTArm,0.44609329356573
ORNtiDF,0.0643535796502927
OXAHCOtex,0.190987093224265
P5CDm,0.172736451387729
P5CRm,0.325908946766035
P5CRxm,0.325908946766035
PCLAD,NaN
PCm,0.0394760164919148
PCREATtmdiffir,NaN
PDHm,0.163839023781466
PE_HStm,NaN
PEPCK,0.0478084441511779
PEPCKm,0.202156719037497
PFK,0.629674145998719
PGCD,0.91037714091242
PGI,0.534123819189757
PGK,1.17485715420734
PGL,0.759366741306553
PGLer,0.117870080519018
PGM,1.23268658830051
PHEt4,1.03326792604765
PHEtec,0.0259834274867049
PIt7,0.00221056673397361
PIter,0.0858058618159863
PPA,1.13315198367642
PPAm,0.493479033814921
PPCOACm,NaN
PPCOAOm,0.494421592227004
PPItr,NaN
PPM,0.461009499246403
PRFGS,0.142610685749695
PRO1xm,NaN
PROD2m,NaN
PROt2r,0.00680045597054352
PROt4,1.03326792604765
PRPNCOAHYDm,0.869022374076315
PRPPS,0.252067137652366
PSERT,0.247859031269961
PSFLIPm,0.0196698642324975
PSP_L,0.270439599466827
PTRCOX1,NaN
PUNP1,0.166353346534313
PYK,1.53225132788266
PYRt2m,0.42392472751319
PYRt2p,0.42392472751319
PYRt2r,0.463696172922763
RETNt,NaN
RPE,0.310370586603138
RPI,0.278554582427131
SACCD3m,0.13110798632865
SACCD4m,0.13110798632865
SARCStm,NaN
SARDHm,0.289795091778552
SERALANaEx,0.425203410476367
SERASNNaEx,0.425203410476367
SERCYSNaEx,0.425203410476367
