Var1,PDX-3693_cluster_3
10FTHF5GLUtl,NaN
10FTHF5GLUtm,NaN
10FTHF6GLUtl,NaN
10FTHF6GLUtm,NaN
10FTHF7GLUtl,NaN
10FTHF7GLUtm,NaN
10FTHFtl,NaN
10FTHFtm,NaN
11DOCRTSLtm,NaN
11DOCRTSLtr,NaN
11DOCRTSTRNtm,NaN
11DOCRTSTRNtr,NaN
13DAMPPOX,NaN
1a_24_25VITD2Hm,NaN
1a_24_25VITD3Hm,NaN
1a_25VITD2Hm,NaN
1a_25VITD3Hm,NaN
1MNCAMti,NaN
1PPDCRp,NaN
24_25DHVITD2t,NaN
24_25DHVITD2tm,NaN
24_25DHVITD3t,NaN
24_25DHVITD3tm,NaN
24_25VITD2Hm,0.110789713760217
24_25VITD3Hm,0.110789713760217
24NPHte,NaN
25HVITD2t,NaN
25HVITD2tin,NaN
25HVITD2tin_m,NaN
25HVITD2tm,NaN
25HVITD3t,NaN
25HVITD3tin,NaN
25HVITD3tin_m,NaN
25HVITD3tm,NaN
25VITD2Hm,NaN
25VITD3Hm,NaN
2AMACHYD,NaN
2AMACSULT,0.00157361431997649
2AMADPTm,NaN
2DR1PP,NaN
2HBO,1.12956698553092
2HBt2,0.0288195362200542
2HCO3_NAt,0.000806394178851121
2MCITt,NaN
2OXOADOXm,0.22340830268503
2OXOADPTm,NaN
34DHOXPEGOX,NaN
34DHOXPEGt,NaN
34DHPHAMT,0.0401983277327349
34DHPHEt,NaN
34DHPLACOX,NaN
34DHPLACOX_NADP,NaN
34DHXMANDACOX,NaN
34DHXMANDACOX_NADP,NaN
34HPLFM,NaN
34HPPOR,NaN
35CGMPtn,NaN
3AIBt,NaN
3AIBTm,0.20745635574975
3AIBtm,0.20745635574975
3DPHBH1,NaN
3DPHBH2,NaN
3DSPHR,1.78930036145814
3HAO,NaN
3HBCDm,0.000929388768818914
3HBCOAHLm,NaN
3HKYNAKGAT,0.0768110765790453
3HLYTCL,NaN
3HPCOAHYD,0.0929380231568603
3HPPD,NaN
3HXKYNDCL,NaN
3HXKYNOXDA,0.027574250892717
3M4HDXPAC,NaN
3MLDAt,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3MOX4HOXPGALDOX,NaN
